,collector_name,collector_address,collector_number,collector_nik,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender
229,Zachary Russell,"Gg. Ciwastra No. 2
Ambon, Sulawesi Barat 51101",+62 (399) 276 7112,2876526878782399,1,sms or WA,2,1900000,11700000,16737,16.0,51101,18,18,"Aceh, 21-12-1960",63,Menikah,perempuan
230,Reginald Davies,"Jalan Jakarta No. 6
Padang, BE 05913",+62 (26) 448-9001,2154382534198652,1,sms or WA,17,58000000,91400000,154419,63.0,5913,18,18,"Kalimantan Selatan, 15-05-1967",56,Belum menikah,perempuan
231,Jonathan Ferguson,"Jalan Jayawijaya No. 49
Ambon, MU 07268",+62-846-571-2132,6250113882824715,3,sms or WA,9,47300000,52800000,76452,90.0,7268,12,3,"Kalimantan Tengah, 21-12-1994",29,Menikah,laki-laki
232,Kelly Peterson,"Jalan Surapati No. 00
Bengkulu, PB 46694",+62 (045) 988 1564,2269420082474589,0,sms or WA,1,1600000,1700000,5624,94.0,46694,11,7,"Jawa Tengah, 16-05-1995",28,Cerai mati,perempuan
233,Brittany Larson,"Jl. Waringin No. 0
Binjai, Sulawesi Tengah 29194",+62-0458-474-7214,8909098142698635,1,sms or WA,7,59300000,68400000,76624,87.0,29194,8,3,"Kalimantan Tengah, 08-04-1991",32,Cerai mati,laki-laki
234,Brittany Morgan,"Gg. Rajiman No. 30
Payakumbuh, SU 50336",+62 (0260) 129 5432,2850416223635656,1,sms or WA,3,1500000,6300000,36135,24.0,50336,14,18,"Kalimantan Barat, 20-09-1995",28,Cerai mati,perempuan
235,Todd Lozano,"Jl. Medokan Ayu No. 0
Cimahi, Sulawesi Selatan 65045",+62 (0267) 767 1279,1855055859118707,1,sms or WA,4,8800000,16300000,47864,54.0,65045,13,11,"Sulawesi Tenggara, 16-02-1994",29,Menikah,laki-laki
236,Ruth Perez,"Jl. R.E Martadinata No. 3
Padangpanjang, YO 94199",+62 (10) 084 1688,5254441793108312,0,sms or WA,6,30800000,51300000,54671,60.0,94199,9,3,"Nusa Tenggara Barat, 16-02-1980",43,Cerai mati,laki-laki
237,Leslie Lam,"Gang Kebonjati No. 6
Kota Administrasi Jakarta Barat, AC 01972",+62 (077) 916 6830,1791319527657412,2,sms or WA,9,18300000,48500000,50893,38.0,1972,18,15,"Kalimantan Timur, 14-04-1966",57,Menikah,laki-laki
238,Jacob Beck,"Jalan Cikutra Timur No. 59
Kota Administrasi Jakarta Utara, Maluku 20973",+62 (99) 689-8397,3848171175226862,1,sms or WA,1,2200000,3800000,6443,57.99999999999999,20973,16,12,"Sumatera Barat, 27-12-1974",49,Cerai hidup,laki-laki
239,Donna Clay,"Jalan Medokan Ayu No. 48
Tanjungbalai, Maluku Utara 09863",+62-0838-772-1383,9835743442054278,0,sms or WA,17,97600000,143500000,175739,68.0,9863,13,15,"Kalimantan Utara, 31-10-1971",52,Belum menikah,perempuan
240,Timothy Liu,"Gg. Abdul Muis No. 576
Pangkalpinang, Kepulauan Bangka Belitung 20242",+62 (0220) 208-8908,1747950011808130,1,sms or WA,11,4600000,47600000,86247,10.0,20242,5,15,"Kalimantan Utara, 09-11-1981",42,Cerai hidup,laki-laki
241,Colleen Edwards,"Gg. Asia Afrika No. 37
Kupang, BA 19741",+62 (010) 822-0309,9599380541562487,4,sms or WA,18,108200000,177500000,166049,61.0,19741,8,11,"Sumatera Barat, 10-04-1973",50,Belum menikah,perempuan
242,Melinda Bailey,"Gang Peta No. 847
Tanjungbalai, AC 28096",+62-089-619-6300,8705235153231251,1,sms or WA,18,20100000,88500000,181418,23.0,28096,19,20,"Kepulauan Bangka Belitung, 13-08-1988",35,Menikah,perempuan
243,Tammy Shaw,"Gg. Stasiun Wonokromo No. 6
Sabang, SR 96410",+62 (402) 056-1826,8433148392110055,4,sms or WA,7,12900000,15100000,50145,85.0,96410,10,5,"Kalimantan Barat, 01-06-1963",60,Cerai mati,perempuan
244,Abigail Phillips,"Gg. Ciumbuleuit No. 560
Surabaya, KS 43766",+62-017-581-4300,2061448550007448,4,sms or WA,17,136600000,150800000,99625,91.0,43766,1,3,"Kalimantan Timur, 06-03-1961",62,Belum menikah,laki-laki
245,Colleen Lawrence,"Jl. M.H Thamrin No. 673
Semarang, KU 78779",+62 (0325) 321 4573,4564611032822897,3,sms or WA,1,1500000,1700000,8538,88.0,78779,4,13,"Jambi, 13-08-1963",60,Belum menikah,laki-laki
246,Bruce Cook,"Gang W.R. Supratman No. 9
Pasuruan, Sulawesi Barat 88720",+62 (0656) 369 7363,3193865123413807,2,sms or WA,18,112100000,139800000,188527,80.0,88720,5,7,"Papua, 19-01-1965",58,Menikah,perempuan
247,Jodi Brandt,"Gg. Kendalsari No. 02
Ambon, Riau 22793",+62 (744) 913-6069,4962178878118069,3,sms or WA,10,72800000,75400000,56659,97.0,22793,17,17,"Sulawesi Tengah, 08-10-1965",58,Belum menikah,laki-laki
248,Daniel Hart,"Jalan Monginsidi No. 992
Banda Aceh, AC 52390",+62 (051) 672 6090,5291960842761973,2,sms or WA,14,28800000,64600000,113399,45.0,52390,2,4,"Sumatera Barat, 02-01-1998",25,Cerai mati,perempuan
249,Sara Davis,"Gg. Astana Anyar No. 1
Batam, KS 72892",+62-0071-394-8933,8272848959187763,0,sms or WA,13,8600000,19600000,65965,44.0,72892,20,9,"Sumatera Selatan, 24-06-1988",35,Menikah,perempuan
250,Lisa Cameron,"Jl. Rungkut Industri No. 2
Tanjungpinang, Kalimantan Selatan 66257",+62 (88) 206-1467,6931082148285072,2,sms or WA,18,15900000,61100000,164715,26.0,66257,11,16,"Sulawesi Selatan, 01-04-1997",26,Belum menikah,perempuan
251,Andrew Smith,"Gang Pasirkoja No. 3
Parepare, Kalimantan Selatan 58520",+62 (0626) 981 8168,2541144493045320,3,sms or WA,1,2200000,9000000,8363,24.0,58520,1,6,"Lampung, 16-06-1986",37,Menikah,perempuan
252,Tiffany Patton,"Gang Suryakencana No. 8
Makassar, Lampung 58295",+62-018-406-4557,6265898252821463,2,sms or WA,9,57400000,64600000,45315,89.0,58295,16,10,"Jambi, 11-05-1971",52,Cerai mati,laki-laki
253,Roy Wood,"Jl. Veteran No. 2
Magelang, Gorontalo 84139",+62 (092) 363 6249,7939154392066311,0,sms or WA,9,14200000,15600000,85865,91.0,84139,12,8,"Riau, 08-11-1966",57,Cerai mati,perempuan
254,Sean Wilcox,"Jalan Surapati No. 3
Padang Sidempuan, GO 33119",+62 (99) 757-2005,9971438022096582,3,sms or WA,19,31900000,37000000,182849,86.0,33119,12,4,"Papua, 12-10-1976",47,Cerai mati,perempuan
255,Julia Snyder,"Gang Siliwangi No. 29
Langsa, NB 35210",+62-008-229-8602,4246964417896821,1,sms or WA,5,3800000,25400000,59547,15.0,35210,16,8,"Kalimantan Timur, 30-12-1994",29,Cerai mati,laki-laki
256,Kathleen Hood,"Jl. Dipatiukur No. 4
Sibolga, Sulawesi Utara 49337",+62 (292) 936 8601,9980027503610454,0,sms or WA,10,60000000,66700000,100627,90.0,49337,9,19,"Maluku, 05-01-1970",53,Cerai mati,laki-laki
257,Barbara Romero,"Jl. Rawamangun No. 7
Cirebon, Nusa Tenggara Barat 32475",+62-10-055-6014,5354958347179586,4,sms or WA,14,13000000,23000000,96994,56.99999999999999,32475,1,6,"Lampung, 24-08-1968",55,Cerai hidup,perempuan
258,Todd Rollins,"Gang Pacuan Kuda No. 257
Yogyakarta, Nusa Tenggara Timur 06481",+62-72-111-0687,1041912238494388,2,sms or WA,17,18000000,151100000,99086,12.0,6481,19,16,"Nusa Tenggara Timur, 14-09-1993",30,Cerai hidup,perempuan
259,Christopher Martin,"Gang Monginsidi No. 660
Bekasi, KT 51375",+62-0572-739-4967,2954538518885139,2,sms or WA,7,34600000,63900000,41762,54.0,51375,7,1,"Kalimantan Barat, 22-09-1982",41,Cerai hidup,perempuan
260,Madeline Davis,"Gg. Moch. Toha No. 04
Tasikmalaya, LA 79428",+62 (30) 958-9355,6163567560490933,1,sms or WA,11,8500000,14400000,87697,59.0,79428,14,2,"Jambi, 19-11-1960",63,Menikah,laki-laki
261,Melissa Griffith,"Gang Jayawijaya No. 6
Cimahi, Papua 21910",+62 (865) 062-1444,8910248967323838,2,sms or WA,19,75100000,183000000,175789,41.0,21910,5,15,"Lampung, 22-01-1997",26,Cerai mati,laki-laki
262,Autumn Steele,"Jalan Kiaracondong No. 27
Banjarbaru, JA 89280",+62-0687-707-2821,3892176700770790,3,sms or WA,10,11500000,32700000,87424,35.0,89280,6,17,"Papua Barat, 24-03-1984",39,Menikah,perempuan
263,Ross Skinner,"Jl. Surapati No. 175
Subulussalam, SB 04699",+62-083-591-5431,8702574447503567,4,sms or WA,6,5700000,6100000,45645,93.0,4699,11,2,"Maluku Utara, 10-01-1960",63,Cerai mati,perempuan
264,Nicole Robertson,"Gg. Cempaka No. 87
Kendari, Kalimantan Tengah 71956",+62 (91) 164-1774,4706834477773331,4,sms or WA,11,39800000,42000000,67388,95.0,71956,5,14,"Kalimantan Tengah, 10-04-1973",50,Cerai mati,perempuan
265,Shawn Smith,"Jalan Pelajar Pejuang No. 505
Lubuklinggau, BB 57684",+62 (062) 722 2810,1614200351151072,3,sms or WA,3,3800000,20400000,23649,19.0,57684,11,8,"Kalimantan Timur, 31-07-1988",35,Belum menikah,laki-laki
266,Sherry Russell,"Gg. Joyoboyo No. 6
Palangkaraya, Kalimantan Tengah 64617",+62 (0519) 501-8042,5806699780508751,2,sms or WA,4,27600000,38100000,31923,72.0,64617,3,8,"Nusa Tenggara Barat, 27-02-1993",30,Cerai hidup,perempuan
267,Alyssa Tucker,"Jl. K.H. Wahid Hasyim No. 2
Kotamobagu, PB 78325",+62 (009) 768 9248,2733616991694060,1,sms or WA,11,11400000,12500000,118039,91.0,78325,20,9,"Lampung, 19-06-1961",62,Menikah,laki-laki
268,Phyllis James,"Gg. R.E Martadinata No. 25
Sabang, Maluku 25271",+62-39-175-9886,2220401100306503,0,sms or WA,13,5500000,49600000,132654,11.0,25271,1,13,"DKI Jakarta, 20-11-1968",55,Cerai hidup,perempuan
269,Jason Chen,"Gang Rumah Sakit No. 65
Purwokerto, Kepulauan Riau 64178",+62 (151) 588 9984,9266861992234915,4,sms or WA,17,12900000,112600000,177952,11.0,64178,15,11,"Gorontalo, 17-04-1973",50,Cerai mati,laki-laki
270,Ashley Phelps,"Jl. Surapati No. 4
Malang, Kalimantan Utara 28367",+62 (09) 896-4215,8796843768957851,2,sms or WA,15,13000000,27700000,84618,47.0,28367,14,6,"Gorontalo, 01-12-1988",35,Belum menikah,laki-laki
271,David Mullins,"Jl. Rungkut Industri No. 46
Tangerang Selatan, SN 36089",+62 (0059) 466 0689,4525943295713552,2,sms or WA,5,25300000,46100000,38369,55.00000000000001,36089,8,8,"Sulawesi Barat, 03-08-1987",36,Menikah,perempuan
272,Janice Young,"Jalan Jend. A. Yani No. 226
Prabumulih, Sumatera Selatan 81491",+62 (800) 825-0881,6891295931920277,4,sms or WA,8,8000000,13300000,68869,60.0,81491,14,14,"Riau, 21-05-1990",33,Menikah,perempuan
273,Molly Torres,"Gang Antapani Lama No. 936
Sukabumi, BB 06208",+62 (04) 278 1979,4596584838349270,4,sms or WA,14,83900000,93100000,131731,90.0,6208,7,17,"Nusa Tenggara Barat, 24-02-1975",48,Menikah,laki-laki
274,Glenn Little,"Gg. Cempaka No. 3
Kendari, Gorontalo 71151",+62-638-756-6005,4626967386144850,4,sms or WA,1,1200000,4900000,18470,24.0,71151,17,9,"Gorontalo, 30-01-1971",52,Belum menikah,laki-laki
275,Jacob Walker,"Gang Joyoboyo No. 80
Depok, JT 20320",+62 (0783) 191 0403,3105927401601841,4,sms or WA,3,27200000,28000000,17821,97.0,20320,4,7,"Jawa Barat, 26-02-1998",25,Menikah,laki-laki
276,Jessica Choi,"Jalan S. Parman No. 065
Subulussalam, Kalimantan Timur 37978",+62 (65) 356-3631,6838371013322065,2,sms or WA,11,53100000,94000000,105269,56.00000000000001,37978,2,9,"DI Yogyakarta, 28-02-1998",25,Menikah,perempuan
277,Kimberly Adams,"Jl. Raya Setiabudhi No. 5
Sibolga, SB 96657",+62 (0427) 103 1711,4646996386704915,1,sms or WA,17,33100000,37200000,86959,89.0,96657,12,15,"Sumatera Utara, 10-10-1969",54,Belum menikah,laki-laki
278,Sandra Trevino,"Gg. Kutai No. 85
Lhokseumawe, JT 92819",+62-589-577-5084,2004869612711883,0,sms or WA,1,2300000,6700000,7664,34.0,92819,13,2,"Sulawesi Tenggara, 01-08-1963",60,Menikah,perempuan
279,Tracy Park,"Gg. Pasirkoja No. 10
Pasuruan, KR 67808",+62-810-990-0381,4702013994009534,3,sms or WA,9,26600000,65800000,79720,40.0,67808,16,10,"Sumatera Selatan, 15-12-1971",52,Cerai hidup,perempuan
280,Hannah Bailey,"Jl. Rajawali Barat No. 5
Pagaralam, Maluku 09322",+62 (51) 270-9075,5998170338762991,4,sms or WA,18,109900000,155300000,97013,71.0,9322,11,14,"Kalimantan Barat, 15-03-1963",60,Menikah,perempuan
281,Brianna Jackson,"Gang Kutisari Selatan No. 41
Pontianak, LA 86511",+62 (277) 871 1737,3043866057710274,1,sms or WA,12,33800000,116300000,66905,29.0,86511,19,7,"Sumatera Selatan, 03-12-1988",35,Menikah,perempuan
282,Emma Arroyo,"Gg. Kapten Muslihat No. 74
Surakarta, SB 97068",+62-47-628-1050,7460721212830039,3,sms or WA,4,19300000,22300000,40304,87.0,97068,1,3,"Sulawesi Utara, 29-10-1966",57,Belum menikah,laki-laki
283,John Mann,"Gang Cikutra Timur No. 642
Padang, NB 81002",+62-142-384-1300,8944491328708540,0,sms or WA,8,21100000,32500000,88749,65.0,81002,9,17,"Nusa Tenggara Barat, 22-01-1982",41,Belum menikah,perempuan
284,Thomas Wolf,"Gang Jend. Sudirman No. 097
Madiun, PA 68046",+62 (912) 662-8350,1171293840201162,2,sms or WA,17,9200000,12200000,112039,75.0,68046,11,6,"Sulawesi Tengah, 19-10-1961",62,Cerai mati,laki-laki
285,Matthew Dorsey,"Jl. Sadang Serang No. 7
Bandung, BB 22109",+62 (0753) 152-3630,5514201369256381,4,sms or WA,4,17800000,38700000,35236,46.0,22109,16,4,"Sulawesi Tengah, 26-06-1979",44,Menikah,perempuan
286,Christopher Smith,"Gang Medokan Ayu No. 9
Pariaman, KS 85573",+62 (67) 726 9783,8018118676497235,4,sms or WA,3,1900000,9700000,16282,20.0,85573,2,19,"Kalimantan Barat, 02-05-1984",39,Belum menikah,perempuan
287,Joseph Macias,"Gang Cihampelas No. 1
Tebingtinggi, Banten 39374",+62-090-840-3306,7221636184544181,3,sms or WA,11,10700000,12500000,104337,86.0,39374,16,6,"Sulawesi Utara, 01-09-1965",58,Cerai hidup,laki-laki
288,Cynthia Rojas,"Jl. Pasirkoja No. 3
Kediri, DKI Jakarta 88758",+62 (041) 941-3707,9731487261010740,2,sms or WA,17,85600000,89500000,85981,96.0,88758,3,3,"Sumatera Selatan, 08-01-2000",23,Cerai mati,perempuan
289,Linda George,"Jl. Dr. Djunjunan No. 71
Tarakan, Nusa Tenggara Barat 67280",+62 (300) 745-7022,8461452181939302,2,sms or WA,19,33600000,128700000,122523,26.0,67280,20,1,"Jawa Barat, 30-08-1989",34,Cerai mati,laki-laki
290,Shelley Martin,"Gang Astana Anyar No. 572
Makassar, Sulawesi Tengah 48288",+62-842-758-2261,2595135134181435,2,sms or WA,9,7000000,8100000,88553,86.0,48288,8,12,"Sulawesi Tenggara, 21-12-1993",30,Cerai mati,laki-laki
291,Nicholas Williams,"Gang Wonoayu No. 456
Banjar, GO 33756",+62 (646) 002-0341,5332960259785819,1,sms or WA,8,3800000,7500000,66250,51.0,33756,2,19,"Riau, 26-12-1994",29,Belum menikah,laki-laki
292,Ryan Williams,"Jalan BKR No. 8
Banjarmasin, SN 06183",+62-0285-112-0023,1643037991249693,1,sms or WA,4,22800000,28200000,20103,81.0,6183,10,4,"Sumatera Barat, 07-06-1987",36,Cerai mati,laki-laki
293,Gary Cabrera MD,"Gg. Jakarta No. 9
Dumai, NT 16276",+62 (0089) 779-4016,1975561694121801,3,sms or WA,12,9600000,10700000,94654,90.0,16276,17,8,"Maluku, 27-05-1992",31,Menikah,laki-laki
294,Dr. Lisa Martinez,"Gang Suniaraja No. 1
Blitar, Banten 08367",+62 (13) 730 8274,2841793914950183,4,sms or WA,7,8200000,59800000,50976,14.000000000000002,8367,20,6,"Nusa Tenggara Timur, 09-03-1998",25,Menikah,laki-laki
295,Brittany Little,"Gang Rawamangun No. 3
Batam, RI 34230",+62-0182-772-1287,3920291698011002,0,sms or WA,19,15100000,132800000,181701,11.0,34230,7,13,"Riau, 06-03-1996",27,Cerai mati,perempuan
296,Karl Rose,"Gg. Cihampelas No. 1
Sorong, JK 03229",+62 (0358) 824-2929,1462567727968844,3,sms or WA,5,7400000,13400000,56249,55.00000000000001,3229,20,7,"Maluku, 27-06-1982",41,Belum menikah,perempuan
297,Nicole Curtis,"Jl. Gegerkalong Hilir No. 67
Kota Administrasi Jakarta Barat, NT 19288",+62-0206-437-0833,2943152806028330,3,sms or WA,19,13900000,17100000,171022,81.0,19288,14,18,"Aceh, 09-04-1962",61,Cerai mati,perempuan
298,Kimberly Finley,"Jalan W.R. Supratman No. 531
Bitung, SU 59334",+62-302-381-3476,6444575330097188,4,sms or WA,6,32800000,50300000,50623,65.0,59334,6,16,"Kepulauan Bangka Belitung, 09-02-1988",35,Cerai mati,perempuan
299,Krystal Torres,"Jalan Ciumbuleuit No. 80
Prabumulih, Maluku Utara 94460",+62-284-914-3235,8532306074220284,3,sms or WA,18,148800000,156100000,177580,95.0,94460,8,12,"Jawa Timur, 08-03-1971",52,Cerai hidup,perempuan
300,Pamela Frost,"Jl. Antapani Lama No. 9
Jayapura, Sulawesi Utara 68712",+62-024-682-5185,1178332055307191,7,surat panggilan,26,19500000,28000000,305940,70.0,68712,17,7,"Kalimantan Timur, 24-11-1966",57,Cerai hidup,laki-laki
301,Samantha Boyd,"Jl. Rajawali Timur No. 366
Kota Administrasi Jakarta Barat, Jawa Barat 20154",+62-648-122-0999,8553167165269138,7,surat panggilan,20,11500000,53500000,212787,21.0,20154,2,15,"Nusa Tenggara Timur, 14-05-1981",42,Belum menikah,perempuan
302,Ms. Kristina King,"Jl. Pacuan Kuda No. 497
Blitar, Papua Barat 62913",+62 (816) 168 7175,2978906840578507,7,surat panggilan,20,36000000,193000000,223241,19.0,62913,17,6,"Gorontalo, 26-01-1997",26,Belum menikah,perempuan
303,April Riggs,"Gg. Cihampelas No. 912
Pangkalpinang, Kepulauan Riau 13921",+62 (0246) 084 3802,4604769805801791,8,surat panggilan,37,92000000,101500000,715612,91.0,13921,14,5,"DKI Jakarta, 14-08-1962",61,Cerai mati,perempuan
304,Charles Sanchez DVM,"Gang Sadang Serang No. 00
Kota Administrasi Jakarta Timur, BA 99893",+62 (0806) 987 3942,1137494441962592,8,surat panggilan,22,43500000,173000000,372781,25.0,99893,3,18,"Kalimantan Selatan, 06-04-1961",62,Cerai hidup,perempuan
305,Kimberly Brown,"Gang Jend. A. Yani No. 79
Banjarbaru, SB 98672",+62 (770) 509-2832,2688251115013398,8,surat panggilan,31,118000000,443500000,476239,27.0,98672,5,2,"Riau, 25-05-1966",57,Menikah,laki-laki
306,Don Hayes,"Gg. Dr. Djunjunan No. 3
Madiun, Riau 40416",+62 (0329) 685-7208,3544785156358044,7,surat panggilan,20,21500000,63000000,291409,34.0,40416,9,4,"Jawa Tengah, 14-01-1974",49,Menikah,perempuan
307,Melinda Taylor,"Jl. Dipatiukur No. 764
Magelang, Sulawesi Utara 85863",+62-645-198-0765,9582575708669893,7,surat panggilan,26,233500000,344000000,400796,68.0,85863,16,14,"DKI Jakarta, 22-08-1981",42,Menikah,perempuan
308,Tanya Diaz,"Gg. Ahmad Dahlan No. 855
Payakumbuh, Maluku Utara 97397",+62 (086) 042-2593,9113379790457040,8,surat panggilan,36,112500000,278500000,424520,40.0,97397,16,2,"Papua Barat, 08-05-1963",60,Belum menikah,laki-laki
309,Thomas Murray,"Jalan S. Parman No. 82
Probolinggo, DI Yogyakarta 61055",+62 (673) 274-2053,5179231174499097,7,surat panggilan,39,130500000,502500000,589316,26.0,61055,18,18,"Gorontalo, 28-09-1971",52,Belum menikah,perempuan
310,Allison Gomez,"Gang Suryakencana No. 23
Ambon, Jawa Barat 30010",+62 (0744) 012 3961,9003113786928266,6,surat panggilan,39,66000000,146500000,506989,45.0,30010,7,6,"DI Yogyakarta, 24-03-1984",39,Menikah,laki-laki
311,Andre Gonzalez,"Jalan HOS. Cokroaminoto No. 0
Lhokseumawe, SG 17357",+62 (05) 811-6982,9709798564690434,6,surat panggilan,26,114500000,238500000,479849,48.0,17357,20,13,"Jawa Barat, 05-12-1993",30,Cerai mati,laki-laki
312,Kathleen Weiss,"Gang Joyoboyo No. 12
Gorontalo, KU 80899",+62 (23) 580 7931,1387349713527734,7,surat panggilan,29,212500000,361000000,454687,59.0,80899,15,13,"Gorontalo, 07-06-1974",49,Cerai mati,perempuan
313,Michael Parker,"Jalan Siliwangi No. 512
Bukittinggi, Sulawesi Tenggara 93912",+62 (0537) 175 6446,4846502628134711,8,surat panggilan,27,37000000,73500000,505332,50.0,93912,15,8,"Aceh, 22-04-1984",39,Menikah,laki-laki
314,Jordan Sanders,"Gg. Lembong No. 550
Bima, RI 71203",+62 (795) 185-2179,4134012728668781,6,surat panggilan,32,80500000,125000000,620829,64.0,71203,2,14,"Bengkulu, 28-03-1982",41,Belum menikah,perempuan
315,David Hernandez,"Jl. Suniaraja No. 5
Malang, Kepulauan Riau 10943",+62 (0417) 476 9303,1689651141430971,9,surat panggilan,31,32500000,407500000,454016,8.0,10943,19,17,"Banten, 11-12-1978",45,Cerai mati,perempuan
316,Jamie Green,"Gg. Kutai No. 915
Kota Administrasi Jakarta Pusat, Riau 51981",+62 (35) 892-0563,5220877442671460,8,surat panggilan,23,66000000,333000000,463397,20.0,51981,9,5,"Sumatera Utara, 11-08-1996",27,Menikah,perempuan
317,Paula Cowan,"Jalan Kapten Muslihat No. 8
Pariaman, Sumatera Selatan 43530",+62-672-535-8359,6949964525064631,9,surat panggilan,39,140500000,203500000,789437,69.0,43530,20,15,"Sumatera Utara, 26-01-1990",33,Cerai hidup,laki-laki
318,Elizabeth Perkins,"Gg. Indragiri No. 780
Pangkalpinang, SU 64094",+62 (0025) 016-8729,9587051419601584,7,surat panggilan,38,24500000,230000000,630008,11.0,64094,10,18,"Sumatera Selatan, 14-06-1968",55,Menikah,laki-laki
319,Michelle Davidson,"Gang Jamika No. 14
Bitung, Kalimantan Barat 88451",+62 (001) 230 4048,3222785214905435,8,surat panggilan,34,213000000,349500000,392007,61.0,88451,14,7,"Aceh, 02-10-1979",44,Cerai hidup,laki-laki
320,Kelsey Stewart,"Gg. Asia Afrika No. 483
Padang Sidempuan, SS 56589",+62-071-271-5627,3109339214668115,9,surat panggilan,26,94500000,297000000,424380,32.0,56589,20,5,"Bali, 21-12-1983",40,Belum menikah,laki-laki
321,Debbie King,"Gang Otto Iskandardinata No. 646
Kendari, KI 40031",+62 (34) 114 6661,1255634683755959,9,surat panggilan,39,143000000,236500000,680318,60.0,40031,7,6,"Papua Barat, 10-04-1976",47,Menikah,laki-laki
322,Joshua Melton,"Gang Gedebage Selatan No. 7
Serang, Kalimantan Utara 60751",+62-0957-121-2272,7613216931667857,9,surat panggilan,28,61500000,81000000,522060,76.0,60751,6,8,"Gorontalo, 27-10-1977",46,Cerai hidup,perempuan
323,Bradley Davenport,"Jalan Dr. Djunjunan No. 36
Mataram, KU 86088",+62 (0329) 399 5359,1425900810122933,6,surat panggilan,27,147000000,332500000,374481,44.0,86088,9,3,"Papua Barat, 22-08-1970",53,Belum menikah,perempuan
324,Kayla Beck,"Gg. W.R. Supratman No. 9
Tidore Kepulauan, SB 71775",+62 (47) 843-4929,6327465201654780,9,surat panggilan,31,119000000,334500000,382790,36.0,71775,2,14,"Lampung, 29-06-1993",30,Belum menikah,perempuan
325,Kelly Johnson,"Gang Rawamangun No. 3
Binjai, JI 25091",+62 (047) 280-8590,3511042385944306,8,surat panggilan,30,58500000,448000000,352756,13.0,25091,8,1,"Sumatera Utara, 26-09-1997",26,Cerai mati,laki-laki
326,David Davis,"Gang Indragiri No. 50
Kediri, DKI Jakarta 86947",+62-073-601-3053,5207515033162333,6,surat panggilan,23,162500000,309500000,343271,53.0,86947,20,16,"Riau, 31-05-1996",27,Cerai hidup,perempuan
327,Aaron Smith,"Jalan Dipatiukur No. 420
Magelang, SN 58899",+62-780-896-5957,7334304156619216,6,surat panggilan,23,12000000,135500000,247240,9.0,58899,9,13,"Sulawesi Tenggara, 22-01-1968",55,Cerai mati,perempuan
328,Amy Garcia,"Jalan Joyoboyo No. 148
Bau-Bau, Kalimantan Timur 13751",+62 (764) 527-8426,6396965530472026,8,surat panggilan,33,231500000,275500000,537095,84.0,13751,7,10,"Kalimantan Tengah, 27-09-1981",42,Menikah,perempuan
329,Tiffany Reynolds,"Gg. Rumah Sakit No. 08
Ambon, KI 87852",+62-69-835-6818,1381507632327252,6,surat panggilan,38,217500000,241500000,479417,90.0,87852,17,2,"Lampung, 08-02-1987",36,Menikah,perempuan
330,Timothy Reyes,"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Utara, Kalimantan Utara 54795",+62 (0107) 231 4943,9887182960713002,9,surat panggilan,35,95500000,522000000,363815,18.0,54795,10,4,"Banten, 15-11-1984",39,Cerai hidup,laki-laki
331,David Riddle,"Jl. M.H Thamrin No. 8
Dumai, NT 18181",+62-42-443-9958,8216751293404544,6,surat panggilan,29,34000000,35000000,533067,97.0,18181,9,19,"Maluku Utara, 04-10-1980",43,Cerai hidup,perempuan
332,Donna Valenzuela,"Gg. Sukabumi No. 76
Tanjungpinang, GO 41880",+62-57-262-4548,4312737149913741,6,surat panggilan,37,27000000,175500000,485590,15.0,41880,3,20,"Jawa Barat, 23-01-1968",55,Belum menikah,perempuan
333,Matthew Reynolds,"Jl. Yos Sudarso No. 73
Banjar, NB 90211",+62 (021) 090-8086,8093511192487290,8,surat panggilan,20,167000000,167000000,352469,100.0,90211,11,8,"Sulawesi Tengah, 30-03-1987",36,Cerai hidup,laki-laki
334,Heather Lopez,"Jl. Suryakencana No. 5
Palembang, PA 41094",+62 (061) 823-0464,9536959343396178,6,surat panggilan,24,56500000,213000000,435023,27.0,41094,9,13,"Aceh, 17-05-1975",48,Menikah,perempuan
335,John Nelson,"Gg. Kutai No. 277
Purwokerto, Kalimantan Barat 76689",+62 (60) 156 1940,5837212729294762,6,surat panggilan,25,76500000,329500000,451436,23.0,76689,3,20,"Jawa Barat, 12-12-1981",42,Cerai mati,perempuan
336,Kenneth Thomas,"Gang Lembong No. 507
Payakumbuh, Kepulauan Bangka Belitung 38401",+62 (315) 500-2937,8321308439912752,8,surat panggilan,27,29000000,98500000,510398,29.0,38401,7,11,"Sulawesi Selatan, 30-05-1964",59,Belum menikah,laki-laki
337,Antonio Newman,"Jl. Laswi No. 23
Cilegon, KR 90007",+62 (002) 832-3313,6886730401951487,6,surat panggilan,35,158500000,448000000,362423,35.0,90007,19,17,"DKI Jakarta, 02-10-1987",36,Belum menikah,laki-laki
338,Stephanie Dennis,"Jalan Pelajar Pejuang No. 2
Dumai, Kalimantan Tengah 06298",+62 (019) 966 2806,4004258106526950,7,surat panggilan,23,18500000,60500000,363675,31.0,6298,4,5,"Kalimantan Tengah, 15-06-1981",42,Belum menikah,perempuan
