,debtor_name,debtor_nik,debtor_address,debtor_number,debtor_company,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,payment1,payment2,payment3,payment4,payment5,payment6,payment7,payment8,payment9,payment10,payment11,payment12,bil1_late1,bill_late2,bill_late3,bill_late4,bill_late5,bill_late6,bill_late7,bill_late8,bill_late9,bill_late10,bill_late11,bill_late12,arrears1,arrears2,arrears3,arrears4,arrears5,arrears6,arrears7,arrears8,arrears9,arrears10,arrears11,arrears12,aging,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status
1512,William Gardner,1860323360131638,"Gg. Sentot Alibasa No. 545
Singkawang, MU 87199",+62-407-029-0458,UD Webb Tbk,laki-laki,S1,Full-time,2,26000000.0,2023-07-29,36375000.0,39000000,27400000,44,2,Tertagih,673,1,12000000,36375000.0,38000000,38500000,34500000,35000000,30000000,39500000,38500000,37500000,38000000,39500000,32000000,35500000,0,0,26,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,DPK,87199,20,7,"Maluku Utara, 09-06-1989",34,Pengusaha,Cerai mati
1513,Peter Henderson,9636988288173432,"Jalan Jayawijaya No. 27
Cilegon, JB 65078",+62 (0987) 903 9474,UD Ortiz Smith,laki-laki,S1,Full-time,3,19000000.0,2023-02-06,16958333.333333332,3500000,3250000,175,10,Tidak tertagih,203,2,9000000,33916666.666666664,18000000,22500000,6000000,24500000,26500000,22500000,28500000,23000000,3500000,7000000,19500000,2000000,8,20,10,21,26,4,25,25,13,0,0,23,0,1,0,1,2,0,1,2,0,0,0,1,Diragukan,65078,7,1,"Sumatera Selatan, 18-09-1982",41,Buruh,Cerai hidup
1514,Karen Martinez,8011442913269236,"Gang Sentot Alibasa No. 085
Sungai Penuh, JT 06957",+62-407-615-7743,CV Ross,laki-laki,D3,Retired,3,10500000.0,2023-08-31,16041666.666666666,12500000,7050000,28,2,Tidak tertagih,257,1,7000000,16041666.666666666,19500000,13500000,17500000,11000000,13500000,17500000,17000000,10500000,19500000,18500000,17000000,17500000,0,5,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DPK,06957,11,5,"Kalimantan Selatan, 17-03-1962",61,Pengusaha,Menikah
1515,Dawn Fuentes,1028791654120003,"Jalan Rajawali Barat No. 014
Subulussalam, Lampung 80376",+62-45-283-1678,CV Swanson,perempuan,S2,Retired,3,13000000.0,2023-08-21,16750000.0,17500000,14350000,52,3,Tidak tertagih,397,1,5000000,16750000.0,13000000,18500000,19500000,18500000,17000000,14500000,19500000,18500000,13500000,10500000,19000000,19000000,0,16,13,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,DPK,80376,20,1,"Kalimantan Tengah, 27-11-1990",33,Pegawai Swasta,Cerai hidup
1516,Kristen Moreno,3631235857388823,"Gg. Sentot Alibasa No. 5
Palangkaraya, NB 86260",+62 (10) 102 2830,PD Gill Tbk,laki-laki,D3,Retired,5,15500000.0,2023-01-26,18458333.33333333,12500000,11250000,85,6,Tidak tertagih,138,1,4500000,18458333.33333333,22000000,13000000,12000000,14000000,14000000,14000000,29000000,22000000,19000000,28000000,6000000,28500000,30,0,3,0,9,0,19,0,0,0,23,1,1,0,0,0,0,0,1,0,0,0,1,0,DPK,86260,1,12,"Aceh, 09-09-1990",33,Pengusaha,Cerai mati
1517,Christopher Hester,5895378330031499,"Gang Raya Ujungberung No. 80
Purwokerto, Banten 04908",+62-0596-653-6084,PT Wright,laki-laki,SMA,Contract,2,8700000.0,2023-01-04,14458333.333333334,13500000,9350000,54,3,Tertagih,315,1,7500000,14458333.333333334,19500000,18500000,14000000,12000000,10500000,17000000,12000000,10500000,13500000,12500000,16000000,17500000,23,4,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,DPK,04908,7,5,"Papua, 17-04-1987",36,Profesional,Cerai mati
1518,Albert Foley,5344070856012114,"Jalan Raya Setiabudhi No. 93
Palembang, BA 40824",+62 (079) 868-5311,Perum Jacobs (Persero) Tbk,laki-laki,D3,Full-time,5,17500000.0,2023-06-25,18208333.33333333,6000000,4500000,114,9,Tidak tertagih,296,1,10500000,18208333.33333333,10000000,22000000,20500000,16500000,18500000,13500000,17000000,12000000,20000000,24500000,26500000,17500000,0,0,10,0,10,17,5,8,28,6,29,1,0,0,0,0,0,1,0,0,1,0,1,0,Kurang lancar,40824,18,4,"Sulawesi Barat, 07-02-1980",43,Pegawai Negeri,Cerai mati
1519,Bruce Williams,8175532743183615,"Jalan Jamika No. 136
Metro, Riau 52484",+62 (868) 026-0317,CV Harris Pruitt,laki-laki,S2,Retired,2,20000000.0,2023-03-15,15666666.666666666,10000000,7300000,49,3,Tertagih,566,1,4000000,15666666.666666666,19000000,24000000,10000000,6500000,18000000,26500000,5000000,21500000,14000000,26500000,8000000,9000000,0,0,0,0,0,0,0,25,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DPK,52484,8,3,"Sulawesi Tenggara, 08-02-1991",32,Profesional,Belum menikah
1520,Randy Cobb,1729904153957343,"Gg. Antapani Lama No. 11
Depok, Bali 30441",+62 (082) 236-4412,PD Willis,perempuan,D3,Retired,4,15500000.0,2023-07-13,14291666.666666666,8500000,8050000,75,6,Tidak tertagih,134,1,6500000,14291666.666666666,10500000,2000000,21000000,20000000,19000000,9000000,10000000,14000000,18000000,19000000,9500000,19500000,13,0,16,0,9,0,8,0,8,0,21,0,0,0,1,0,0,0,0,0,0,0,1,0,DPK,30441,7,20,"Kepulauan Riau, 25-06-1972",51,Pegawai Negeri,Belum menikah
1521,Diana Kim,3828377665747308,"Gg. Joyoboyo No. 027
Magelang, AC 63670",+62 (343) 895 7947,PT Hall Rivera Tbk,laki-laki,D1,Full-time,3,17500000.0,2023-02-02,19625000.0,7000000,4400000,96,5,Tidak tertagih,288,2,6000000,39250000.0,29500000,13500000,12500000,28500000,28500000,11000000,29000000,14500000,11000000,24500000,15000000,18000000,16,0,0,0,0,0,16,22,0,17,25,0,1,0,0,0,0,0,1,2,0,1,2,0,Kurang lancar,63670,19,14,"Sumatera Barat, 06-08-1981",42,Profesional,Cerai mati
1522,Kelly James,9429578477552978,"Jl. Tubagus Ismail No. 9
Banjarbaru, Nusa Tenggara Barat 98288",+62 (079) 179-1044,Perum Jackson Gardner,perempuan,SMA,Contract,0,10700000.0,2023-07-09,15833333.333333334,12000000,11100000,26,1,Tertagih,310,1,6000000,15833333.333333334,17500000,11500000,18000000,19000000,11500000,13000000,18500000,14000000,18000000,16000000,15500000,17500000,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DPK,98288,9,4,"Banten, 04-04-1961",62,Buruh,Cerai mati
1523,Jessica Wheeler,2531624856437349,"Jl. Suniaraja No. 49
Mataram, Bengkulu 34271",+62-0125-640-5615,UD Fuentes Davis,perempuan,S1,Full-time,3,24000000.0,2023-05-17,18125000.0,12000000,11100000,69,4,Tertagih,546,1,7500000,18125000.0,25000000,6500000,28000000,6500000,4500000,11000000,19000000,15500000,29500000,25000000,23000000,24000000,12,0,0,26,0,0,0,0,30,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,DPK,34271,8,14,"Kalimantan Timur, 23-09-1967",56,Pengusaha,Menikah
1524,Timothy Lamb DDS,2650724923125564,"Gg. Soekarno Hatta No. 19
Metro, Sulawesi Selatan 54782",+62 (0661) 534 1326,Perum Fletcher Small,perempuan,S1,Full-time,4,19000000.0,2023-03-10,16750000.0,9500000,8550000,204,10,Tidak tertagih,238,3,5000000,50250000.0,7500000,6500000,29000000,5500000,22000000,24500000,11500000,25000000,22500000,18500000,4500000,24000000,0,25,24,0,6,3,24,30,5,30,29,28,0,1,2,0,0,0,1,2,0,1,2,3,Macet,54782,6,3,"Riau, 11-08-1968",55,Pegawai Negeri,Cerai mati
1525,Timothy Bean,4904939323191728,"Gg. Cihampelas No. 536
Bitung, LA 81756",+62-0539-406-3041,PD Marks (Persero) Tbk,perempuan,D2,Retired,3,14500000.0,2023-02-14,14666666.666666666,5500000,3150000,7,1,Tertagih,339,0,17500000,0.0,12500000,19000000,10000000,15000000,11000000,14500000,19500000,11500000,19500000,12000000,12000000,19500000,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,81756,17,2,"Kepulauan Riau, 02-06-1987",36,Pegawai Swasta,Menikah
1526,Paul Horton,4629225581867411,"Jalan Ronggowarsito No. 600
Tangerang Selatan, Kepulauan Riau 85173",+62 (18) 144 6086,CV Arnold Christensen Tbk,laki-laki,S2,Retired,2,18000000.0,2023-01-08,15000000.0,1500000,1150000,20,2,Tertagih,654,1,5000000,15000000.0,8000000,15000000,3000000,18000000,17000000,15500000,8000000,26000000,24500000,16000000,23000000,6000000,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,DPK,85173,9,8,"DKI Jakarta, 21-07-1961",62,Pegawai Swasta,Belum menikah
1527,Brandon Jones,5493073606316165,"Jalan Waringin No. 1
Singkawang, KI 22548",+62 (019) 070 8690,UD Randolph,laki-laki,S2,Retired,4,13000000.0,2023-04-27,14958333.333333334,8500000,5950000,112,7,Tidak tertagih,391,3,8000000,44875000.0,15000000,13000000,15500000,17500000,15500000,14000000,19500000,13500000,10500000,18500000,11500000,15500000,3,16,0,0,27,24,23,0,0,8,0,11,0,1,0,0,1,2,3,0,0,0,0,0,Kurang lancar,22548,9,8,"Sumatera Barat, 24-05-1992",31,Buruh,Cerai hidup
1528,Mrs. Whitney Hendrix,5288898743837084,"Jl. Ir. H. Djuanda No. 8
Samarinda, DI Yogyakarta 01895",+62-470-605-6785,Perum Lopez Tbk,laki-laki,D1,Full-time,3,22500000.0,2023-06-18,17375000.0,20500000,16350000,64,3,Tertagih,562,1,4500000,17375000.0,13000000,24000000,16500000,8500000,3500000,28000000,17500000,13500000,7000000,23500000,27000000,26500000,11,24,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,DPK,01895,16,17,"Gorontalo, 21-09-1972",51,Pegawai Negeri,Cerai hidup
1529,Makayla Miller,7034638244957489,"Jalan Cikapayang No. 9
Semarang, JI 38506",+62 (751) 121-9649,CV Thomas,perempuan,D3,Retired,4,10500000.0,2023-07-16,14958333.333333334,17500000,13750000,43,4,Tidak tertagih,268,1,9500000,14958333.333333334,15500000,16500000,10000000,14000000,15000000,14000000,12500000,18000000,19000000,16500000,11000000,17500000,9,0,0,0,0,1,0,26,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DPK,38506,13,10,"Sumatera Selatan, 15-09-1992",31,Pengusaha,Belum menikah
1530,Andrew Phelps,1492156446548638,"Gang Gedebage Selatan No. 79
Bandar Lampung, DI Yogyakarta 87014",+62-0773-000-0207,PT Dixon Tbk,laki-laki,D2,Retired,5,10500000.0,2023-06-11,13916666.666666666,4000000,3000000,55,3,Tertagih,293,1,6000000,13916666.666666666,10500000,14000000,12000000,15000000,14000000,10000000,15000000,17500000,13500000,14000000,19500000,12000000,0,0,5,0,0,0,0,0,0,22,0,28,0,0,0,0,0,0,0,0,0,1,0,1,DPK,87014,2,9,"Sulawesi Utara, 26-09-1997",26,Pegawai Swasta,Menikah
1531,Mrs. Jessica Waters,5464445135580178,"Jl. Moch. Toha No. 69
Purwokerto, KT 98942",+62 (0718) 882 1328,CV Snyder,perempuan,S2,Retired,4,18000000.0,2023-03-03,15708333.333333334,8000000,6500000,100,6,Tidak tertagih,184,1,9000000,15708333.333333334,5000000,21500000,12000000,18500000,21000000,10000000,22000000,18500000,22000000,4500000,19000000,14500000,0,21,14,0,6,22,0,9,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,1,Kurang lancar,98942,4,20,"Papua, 26-08-1991",32,Buruh,Cerai mati
1532,David Phillips,4957709781539340,"Jalan Pelajar Pejuang No. 589
Medan, Papua 60418",+62 (29) 757-9723,UD King,laki-laki,D3,Retired,4,10500000.0,2023-03-03,16666666.666666666,8000000,7100000,92,6,Tidak tertagih,301,2,19500000,33333333.33333333,17500000,16000000,17000000,13500000,15500000,17500000,15000000,18500000,17500000,17500000,19500000,15000000,0,16,8,0,0,0,28,24,0,0,1,15,0,1,0,0,0,0,1,2,0,0,0,1,Kurang lancar,60418,10,6,"Papua, 07-01-1993",30,Profesional,Cerai hidup
1533,Heidi Johnson DDS,6210462640123387,"Gg. Rajawali Barat No. 3
Tegal, Papua Barat 37691",+62 (84) 169-1038,CV Perkins,laki-laki,D1,Contract,1,10500000.0,2023-05-23,13125000.0,6000000,4500000,46,2,Tidak tertagih,305,1,5500000,13125000.0,13000000,10000000,13000000,15500000,15000000,14000000,11000000,13500000,11000000,12000000,19000000,10500000,0,0,27,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,DPK,37691,17,15,"Kalimantan Timur, 03-12-1971",52,Profesional,Belum menikah
1534,Peter Wilson,1703060293110402,"Jl. Sukajadi No. 39
Palopo, Bengkulu 62478",+62-040-484-3316,Perum Oconnell Ballard Tbk,perempuan,D1,Full-time,0,21500000.0,2023-04-18,16750000.0,5500000,4050000,19,1,Tertagih,547,1,18500000,16750000.0,19500000,28500000,24000000,3500000,9500000,18500000,20500000,26000000,5000000,16000000,22000000,8000000,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,DPK,62478,1,9,"DI Yogyakarta, 11-08-1974",49,Pegawai Swasta,Menikah
1535,Karen Pennington,1874638993826442,"Jl. Veteran No. 25
Tarakan, Jawa Barat 57183",+62 (12) 323 5005,Perum Mcfarland Johnson (Persero) Tbk,perempuan,SMA,Contract,2,11700000.0,2023-06-02,14666666.666666666,4500000,3450000,109,5,Tidak tertagih,384,1,8000000,14666666.666666666,17500000,15000000,17500000,12500000,14000000,19000000,17000000,11500000,10500000,14000000,12500000,15000000,19,0,27,0,0,0,30,0,30,0,3,0,1,0,1,0,0,0,1,0,1,0,0,0,Kurang lancar,57183,17,14,"Lampung, 02-12-1999",24,Buruh,Cerai hidup
1536,Tyler Gonzalez,4185746072685991,"Jl. Dipenogoro No. 003
Singkawang, NT 15740",+62 (596) 491 4475,PD Neal (Persero) Tbk,laki-laki,S1,Full-time,2,25000000.0,2023-08-04,34458333.333333336,33000000,25800000,46,3,Tertagih,603,1,4000000,34458333.333333336,33000000,33500000,34500000,31500000,37000000,37500000,31500000,33000000,30000000,37500000,35500000,39000000,0,0,0,0,18,1,0,0,27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,DPK,15740,19,13,"Bengkulu, 16-07-2000",23,Pegawai Negeri,Belum menikah
1537,Amanda Smith,9446867829278751,"Jalan Jamika No. 25
Bandung, BA 72687",+62-229-601-7590,Perum Dennis Nelson (Persero) Tbk,laki-laki,D3,Retired,3,15500000.0,2023-06-05,17500000.0,2500000,1650000,33,2,Tertagih,527,1,5500000,17500000.0,3000000,25500000,15500000,7000000,28500000,27000000,25500000,14000000,27000000,21500000,2000000,13500000,0,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DPK,72687,1,11,"Maluku Utara, 10-04-1974",49,Profesional,Cerai hidup
1538,William Lopez,7011341667542256,"Gg. Raya Setiabudhi No. 72
Tanjungpinang, Jawa Tengah 50650",+62-70-398-6663,UD Wilson,perempuan,D3,Retired,4,15500000.0,2023-01-30,15500000.0,28000000,20200000,151,8,Tidak tertagih,217,2,6500000,31000000.0,28500000,4500000,28000000,10500000,23500000,26500000,16500000,10500000,4000000,17000000,9500000,7000000,24,27,0,22,0,0,14,24,5,0,10,25,1,2,0,1,0,0,0,1,0,0,0,1,Diragukan,50650,15,11,"Sumatera Utara, 13-09-1963",60,Profesional,Belum menikah
1539,Miguel Acosta,2154854741636345,"Jl. KH Amin Jasuta No. 425
Parepare, SG 04427",+62 (0365) 789 6556,PT Miller,laki-laki,D3,Retired,3,15500000.0,2023-09-15,20708333.33333333,29000000,28800000,51,3,Tertagih,430,1,4000000,20708333.33333333,26500000,25000000,15500000,21500000,22500000,19500000,23000000,6000000,28500000,27000000,18500000,15000000,0,0,20,0,0,0,22,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,DPK,04427,12,7,"Kalimantan Tengah, 30-07-1984",39,Profesional,Menikah
1540,Wayne Boyd,7789686094506934,"Jalan Kutai No. 877
Surakarta, SU 66757",+62 (369) 098-4123,PD Logan Johnson (Persero) Tbk,perempuan,SD,Internship,1,2600000.0,2023-02-08,5416666.666666667,9500000,5450000,108,8,Tidak tertagih,64,1,13500000,5416666.666666667,5000000,500000,3500000,8000000,1500000,4500000,7500000,9000000,3500000,7500000,5500000,9000000,9,24,14,1,0,0,23,0,22,5,0,10,0,1,0,0,0,0,1,0,1,0,0,0,Kurang lancar,66757,13,18,"Kalimantan Barat, 17-11-1972",51,Pegawai Swasta,Cerai hidup
1541,Jose Savage,7249204166366076,"Gang Kutai No. 4
Manado, SN 83834",+62 (66) 486 3772,CV Phillips Williams (Persero) Tbk,perempuan,S1,Retired,4,18000000.0,2023-03-12,10958333.333333334,22500000,12250000,106,7,Tidak tertagih,131,3,7000000,32875000.0,2500000,19500000,6000000,25000000,2500000,7000000,15000000,15500000,18500000,5000000,7000000,8000000,0,10,8,12,17,0,0,0,16,28,15,0,0,0,0,0,1,0,0,0,1,2,3,0,Kurang lancar,83834,14,16,"Sumatera Utara, 06-02-1996",27,Profesional,Belum menikah
1542,Walter Montgomery,3057063068444197,"Jl. Dr. Djunjunan No. 25
Kota Administrasi Jakarta Barat, RI 67412",+62 (58) 261-0131,Perum Stafford Green,laki-laki,S1,Retired,3,19000000.0,2023-07-17,9541666.666666666,14000000,13400000,103,6,Tidak tertagih,107,2,19000000,19083333.33333333,20000000,3000000,28000000,3000000,5000000,3500000,17500000,13000000,5500000,2500000,10500000,3000000,27,0,16,19,0,1,0,0,13,0,27,0,1,0,1,2,0,0,0,0,0,0,1,0,Kurang lancar,67412,10,10,"Jawa Tengah, 22-05-1986",37,Profesional,Belum menikah
1543,Lisa Weiss,5758603218716506,"Gang Cempaka No. 225
Sabang, JA 56828",+62-024-739-2558,Perum Patel Holmes (Persero) Tbk,laki-laki,D3,Full-time,0,26500000.0,2023-08-03,34583333.333333336,32000000,31200000,18,1,Tertagih,559,1,8500000,34583333.333333336,31000000,33500000,33000000,34500000,36000000,38500000,37000000,30000000,39000000,33500000,32500000,36500000,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,DPK,56828,4,20,"Maluku, 30-08-1965",58,Profesional,Cerai hidup
1544,Paul Hayden,4299557613511721,"Gg. Monginsidi No. 5
Bontang, Jawa Tengah 70278",+62 (0124) 676-1891,PD Nguyen,laki-laki,D3,Retired,4,10500000.0,2023-09-17,14625000.0,6500000,5150000,65,3,Tidak tertagih,217,1,4500000,14625000.0,12000000,13500000,10000000,16000000,12000000,17500000,17500000,15000000,16500000,12500000,19000000,14000000,0,0,0,27,0,0,0,0,8,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,DPK,70278,7,16,"Sulawesi Barat, 13-03-1997",26,Buruh,Belum menikah
1545,Theresa Brewer,8142237963590390,"Jalan Pelajar Pejuang No. 146
Bandar Lampung, Sumatera Barat 16712",+62 (046) 318-8440,CV Sullivan,laki-laki,D3,Full-time,3,26500000.0,2023-03-12,32750000.0,36000000,19400000,19,1,Tertagih,561,1,7000000,32750000.0,31500000,31500000,33000000,33000000,34500000,37000000,33000000,30500000,31500000,35500000,30000000,32000000,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DPK,16712,7,20,"Aceh, 13-11-1960",63,Profesional,Menikah
1546,Luis Harris,9199965939070039,"Jl. HOS. Cokroaminoto No. 9
Surakarta, Nusa Tenggara Barat 32438",+62-17-939-7713,UD Aguirre Dunn,laki-laki,S1,Retired,2,21000000.0,2023-09-17,13500000.0,11000000,6400000,74,6,Tertagih,552,1,4000000,13500000.0,10500000,14500000,10000000,16500000,10000000,12500000,3500000,9000000,15500000,28500000,25000000,6500000,18,4,9,0,27,0,0,13,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DPK,32438,13,12,"DKI Jakarta, 16-03-1977",46,Pengusaha,Cerai mati
1547,Jason Stevenson,5547002498681857,"Jl. Raya Setiabudhi No. 4
Pariaman, BE 76683",+62 (09) 993-3095,PD Wheeler Pratt (Persero) Tbk,laki-laki,D3,Contract,0,10500000.0,2023-04-26,15166666.666666666,18000000,13000000,7,1,Tertagih,367,0,13500000,0.0,18000000,19500000,12000000,17500000,14000000,15500000,16000000,13000000,10500000,16000000,12500000,17500000,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,76683,1,3,"Bali, 13-03-1960",63,Pengusaha,Belum menikah
1548,Todd Thomas,3370592174637533,"Gang Cikutra Barat No. 6
Purwokerto, JK 90425",+62-822-145-4177,CV Weeks,perempuan,D3,Retired,3,18500000.0,2023-08-20,14833333.333333334,17000000,14200000,99,5,Tertagih,690,1,3000000,14833333.333333334,3500000,29000000,3000000,14000000,24000000,21500000,18500000,18500000,3000000,12500000,13500000,17000000,0,13,0,25,0,0,27,0,0,21,13,0,0,0,0,1,0,0,1,0,0,1,0,0,Kurang lancar,90425,6,15,"DKI Jakarta, 04-05-1982",41,Pegawai Swasta,Menikah
1549,Jessica Myers,3131816577800550,"Gg. Yos Sudarso No. 18
Pariaman, ST 70595",+62-044-816-1480,PT Sheppard,laki-laki,D1,Full-time,1,27500000.0,2023-05-25,34416666.666666664,37500000,24050000,0,0,Tertagih,499,0,14000000,0.0,31500000,38500000,30500000,34500000,38000000,35000000,34500000,31500000,39500000,31500000,34000000,34000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,70595,14,15,"Sulawesi Tenggara, 02-04-1978",45,Pegawai Negeri,Cerai mati
1550,Blake Sims,6985601737115981,"Gang Moch. Ramdan No. 328
Manado, Sulawesi Tenggara 09071",+62 (069) 753-0904,Perum Pratt Martin (Persero) Tbk,perempuan,D1,Full-time,4,17500000.0,2023-02-02,16208333.333333334,9500000,7650000,50,4,Tidak tertagih,167,1,4000000,16208333.333333334,23000000,28000000,12500000,12500000,5000000,18000000,18000000,6500000,16000000,18500000,23000000,13500000,0,0,0,0,0,0,3,0,14,22,11,0,0,0,0,0,0,0,0,0,0,1,0,0,DPK,09071,14,9,"Kalimantan Utara, 17-11-1964",59,Pegawai Swasta,Menikah
1551,Nicole Boone,6418733070676080,"Jl. Kiaracondong No. 4
Palembang, JK 30225",+62 (004) 755-4241,UD Guerra Lewis,laki-laki,D1,Retired,3,15500000.0,2023-04-24,11583333.333333334,18000000,10300000,54,2,Tertagih,477,1,10000000,11583333.333333334,19000000,12000000,6000000,3000000,22000000,8000000,3000000,5500000,17500000,5500000,23500000,14000000,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,1,0,0,1,0,DPK,30225,12,13,"Sulawesi Tengah, 07-01-1990",33,Buruh,Cerai hidup
1552,Christine Yoder,7166134947827794,"Jalan Veteran No. 27
Banjarmasin, Nusa Tenggara Timur 27973",+62 (0667) 704 7133,CV Brown Campbell (Persero) Tbk,laki-laki,S1,Retired,3,13000000.0,2023-02-19,14583333.333333334,10000000,8900000,134,9,Tidak tertagih,367,2,17500000,29166666.666666668,15500000,19500000,11500000,11500000,13000000,12000000,11500000,16000000,18500000,16500000,18000000,11500000,0,4,7,24,15,9,25,14,0,7,29,0,0,0,0,1,2,0,1,0,0,0,1,0,Diragukan,27973,20,13,"Riau, 29-06-1988",35,Pegawai Swasta,Menikah
1553,Lori Wilson,4844273725410964,"Gg. Kiaracondong No. 11
Jayapura, PA 08322",+62 (645) 503-3098,CV Phelps,perempuan,S1,Full-time,3,24000000.0,2023-07-23,12833333.333333334,14000000,13000000,39,2,Tertagih,642,1,6000000,12833333.333333334,6000000,7000000,12000000,18000000,3000000,26500000,21500000,4500000,12500000,19500000,3000000,20500000,0,25,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DPK,08322,18,19,"Maluku, 11-02-1984",39,Pegawai Swasta,Cerai mati
1554,Rebecca Mcclure,6199307164499092,"Gg. Gardujati No. 970
Gorontalo, Jambi 76604",+62 (047) 115-8482,PD Larsen,perempuan,D3,Retired,5,18500000.0,2023-07-16,18333333.33333333,20000000,13100000,173,11,Tidak tertagih,223,3,14500000,55000000.0,8500000,13500000,9000000,14000000,28500000,26000000,3500000,28500000,18000000,22000000,22500000,26000000,29,23,2,21,18,23,2,3,15,29,8,0,1,2,0,1,2,3,0,0,1,2,0,0,Diragukan,76604,1,16,"Sumatera Selatan, 23-03-2000",23,Profesional,Cerai hidup
1555,Sherry Malone,6588934916288131,"Jl. Sentot Alibasa No. 86
Manado, Sulawesi Tengah 62370",+62-062-903-7503,UD Alexander (Persero) Tbk,laki-laki,S1,Retired,3,13000000.0,2023-03-31,13291666.666666666,19500000,17550000,75,3,Tidak tertagih,399,1,12000000,13291666.666666666,14000000,13500000,13500000,11500000,16500000,14500000,10000000,12500000,11000000,12000000,11000000,19500000,28,0,0,0,0,30,0,0,17,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,DPK,62370,2,18,"Sumatera Selatan, 31-03-1977",46,Pegawai Swasta,Cerai mati
1556,Teresa Crawford,3391847667225380,"Jalan Monginsidi No. 42
Tangerang, Sumatera Barat 77361",+62 (0336) 304 0112,PD Murray Tbk,laki-laki,D1,Retired,4,10500000.0,2023-03-14,14583333.333333334,12500000,9550000,85,5,Tertagih,353,2,6000000,29166666.666666668,10500000,15500000,10500000,14500000,10000000,12000000,17000000,17500000,15500000,15500000,19000000,17500000,21,0,4,0,0,19,0,0,0,18,23,0,1,0,0,0,0,1,0,0,0,1,2,0,DPK,77361,9,1,"Kalimantan Barat, 30-01-1993",30,Pengusaha,Cerai hidup
1557,Kari Padilla,9925178504102815,"Jl. Setiabudhi No. 547
Pagaralam, MA 71990",+62 (0343) 352-1273,CV Davis,laki-laki,S1,Full-time,3,24000000.0,2023-05-11,15416666.666666666,13500000,7850000,204,9,Tidak tertagih,245,4,8500000,61666666.66666666,8000000,23000000,19000000,21500000,6500000,14500000,27000000,16500000,6000000,4500000,13500000,25000000,27,13,29,23,20,28,0,0,23,23,0,18,1,0,1,2,3,4,0,0,1,2,0,1,Macet,71990,18,7,"Papua, 08-10-1978",45,Pegawai Swasta,Cerai hidup
1558,Stephanie Hardy,8087619403585619,"Gang Pacuan Kuda No. 10
Ambon, Lampung 92599",+62-0847-323-9530,Perum Bryant Allen Tbk,laki-laki,D3,Part-time,1,10500000.0,2023-06-09,15583333.333333334,15000000,8500000,105,6,Tertagih,359,2,5500000,31166666.666666668,17000000,14500000,17000000,13500000,16500000,15000000,18500000,14000000,15000000,19500000,10500000,16000000,24,15,4,3,0,0,0,0,30,0,0,29,1,2,0,0,0,0,0,0,1,0,0,1,Kurang lancar,92599,4,4,"Kalimantan Utara, 08-01-1972",51,Pengusaha,Menikah
